"Step","swept-sweep-5 - val_loss","swept-sweep-5 - val_loss__MIN","swept-sweep-5 - val_loss__MAX","swept-sweep-4 - val_loss","swept-sweep-4 - val_loss__MIN","swept-sweep-4 - val_loss__MAX","divine-sweep-3 - val_loss","divine-sweep-3 - val_loss__MIN","divine-sweep-3 - val_loss__MAX","twilight-sweep-2 - val_loss","twilight-sweep-2 - val_loss__MIN","twilight-sweep-2 - val_loss__MAX","glad-sweep-1 - val_loss","glad-sweep-1 - val_loss__MIN","glad-sweep-1 - val_loss__MAX","vague-sweep-1 - val_loss","vague-sweep-1 - val_loss__MIN","vague-sweep-1 - val_loss__MAX"
"0","0.04492040351033211","0.04492040351033211","0.04492040351033211","0.04502657428383827","0.04502657428383827","0.04502657428383827","0.04479394853115082","0.04479394853115082","0.04479394853115082","0.045002326369285583","0.045002326369285583","0.045002326369285583","0.04516513645648956","0.04516513645648956","0.04516513645648956","0.061174359172582626","0.061174359172582626","0.061174359172582626"
"1","0.04546498879790306","0.04546498879790306","0.04546498879790306","0.0448385626077652","0.0448385626077652","0.0448385626077652","0.044896919280290604","0.044896919280290604","0.044896919280290604","0.04459638148546219","0.04459638148546219","0.04459638148546219","0.045113127678632736","0.045113127678632736","0.045113127678632736","0.03136950358748436","0.03136950358748436","0.03136950358748436"
"2","0.04486027732491493","0.04486027732491493","0.04486027732491493","0.044535137712955475","0.044535137712955475","0.044535137712955475","0.0448974072933197","0.0448974072933197","0.0448974072933197","0.04409239813685417","0.04409239813685417","0.04409239813685417","0.04487582668662071","0.04487582668662071","0.04487582668662071","0.02437577024102211","0.02437577024102211","0.02437577024102211"
"3","0.04447127506136894","0.04447127506136894","0.04447127506136894","0.04474730044603348","0.04474730044603348","0.04474730044603348","0.04494437202811241","0.04494437202811241","0.04494437202811241","0.044182151556015015","0.044182151556015015","0.044182151556015015","0.04455198720097542","0.04455198720097542","0.04455198720097542","0.01993604749441147","0.01993604749441147","0.01993604749441147"
"4","0.04452100396156311","0.04452100396156311","0.04452100396156311","0.044031962752342224","0.044031962752342224","0.044031962752342224","0.04503243416547775","0.04503243416547775","0.04503243416547775","0.04381951689720154","0.04381951689720154","0.04381951689720154","0.044431254267692566","0.044431254267692566","0.044431254267692566","0.01760503277182579","0.01760503277182579","0.01760503277182579"
"5","0.044042062014341354","0.044042062014341354","0.044042062014341354","0.04340158775448799","0.04340158775448799","0.04340158775448799","0.04467375949025154","0.04467375949025154","0.04467375949025154","0.04374009370803833","0.04374009370803833","0.04374009370803833","0.04543778672814369","0.04543778672814369","0.04543778672814369","0.016274534165859222","0.016274534165859222","0.016274534165859222"
"6","0.0437159538269043","0.0437159538269043","0.0437159538269043","0.04359671100974083","0.04359671100974083","0.04359671100974083","0.044783566147089005","0.044783566147089005","0.044783566147089005","0.04433073103427887","0.04433073103427887","0.04433073103427887","0.04471713677048683","0.04471713677048683","0.04471713677048683","0.015938537195324898","0.015938537195324898","0.015938537195324898"
"7","0.04356047138571739","0.04356047138571739","0.04356047138571739","0.04333886876702309","0.04333886876702309","0.04333886876702309","0.04399679973721504","0.04399679973721504","0.04399679973721504","0.04365082457661629","0.04365082457661629","0.04365082457661629","0.04446762427687645","0.04446762427687645","0.04446762427687645","0.015088589861989021","0.015088589861989021","0.015088589861989021"
"8","0.043186500668525696","0.043186500668525696","0.043186500668525696","0.043465755879879","0.043465755879879","0.043465755879879","0.04422053322196007","0.04422053322196007","0.04422053322196007","0.0434393472969532","0.0434393472969532","0.0434393472969532","0.04434635490179062","0.04434635490179062","0.04434635490179062","0.014782283455133438","0.014782283455133438","0.014782283455133438"
"9","0.04309960827231407","0.04309960827231407","0.04309960827231407","0.043617114424705505","0.043617114424705505","0.043617114424705505","0.043773360550403595","0.043773360550403595","0.043773360550403595","0.043399374932050705","0.043399374932050705","0.043399374932050705","0.04430903494358063","0.04430903494358063","0.04430903494358063","0.014742657542228699","0.014742657542228699","0.014742657542228699"
